,rhetoric_trend,desc_percentage,desc_trend,trend,rhetoric_percentage,total,rhe,desc
1998,0.003796729126667,0.133333333333333,0.000584112173333,0.0043808413,0.866666666666667,15,13,2
1999,0.00312500001,0.15,0.00055147059,0.0036764706,0.85,100,85,15
2000,0.00270922725,0.25,0.00090307575,0.003612303,0.75,224,168,56
2001,0.001946273157333,0.186666666666667,0.000446685642667,0.0023929588,0.813333333333333,150,122,28
2002,0.001425307486567,0.164179104477612,0.000279971113433,0.0017052786,0.835820895522388,134,112,22
2003,0.001938109290323,0.064516129032258,0.000133662709677,0.002071772,0.935483870967742,93,87,6
2004,0.002640637988506,0.057471264367816,0.000161014511494,0.0028016525,0.942528735632184,87,82,5
2005,0.0022572477,0,0,0.0022572477,1,24,24,0
2006,0.001474835763158,0.210526315789474,0.000393289536842,0.0018681253,0.789473684210526,19,15,4
2007,0.001725164914286,0.262857142857143,0.000615175085714,0.00234034,0.737142857142857,175,129,46
2008,0.001490367153646,0.151041666666667,0.000265157346354,0.0017555245,0.848958333333333,192,163,29
2009,0.001455289494915,0.135593220338983,0.000228280705085,0.0016835702,0.864406779661017,118,102,16
2010,0.001951082573684,0.105263157894737,0.000229539126316,0.0021806217,0.894736842105263,19,17,2
2011,0.002126727690909,0.136363636363636,0.000335799109091,0.0024625268,0.863636363636364,22,19,3
2012,0.002022166533333,0.066666666666667,0.000144440466667,0.002166607,0.933333333333333,15,14,1
2013,0.0018179097,0,0,0.0018179097,1,9,9,0
2014,0.0021993178,0,0,0.0021993178,1,12,12,0
2015,0.0021508604,0,0,0.0021508604,1,2,2,0
