place,area,performances,density,population
Bandung,1767960,7,1.99253603022693,3522724
Bandung_Kota,167670,11,14.3411999761436,2404589
Banjar_Kota,113490,26,1.7727641201868,201191
Banjarnegara,1023730,147,0.979162474480576,1002398
Bantul,506860,482,1.79833287298268,911503
Banyumas,1335300,767,1.30388452033251,1741077
Banyuwangi,5782400,23,0.292893954067515,1693630
Batang,788650,65,0.980330945286249,773138
Batu_Kota,136740,14,1.48613426941641,203214
Bekasi,1224880,44,2.08540918294037,2554376
Bekasi_Kota,206610,31,11.6600503363826,2409083
Blitar,1336480,443,0.912166287561355,1219092
Blora,1804590,88,0.049537013947767,89394
Bogor,2710620,6,1.56654455438239,4246307
Bojonegoro,2198790,48,0.597474974872543,1313722
Boyolali,1008450,165,0.981482473102286,989776
Brebes,1902370,14,0.99677928058159,1896243
Ciamis,1414710,179,0.868230237999307,1228294
Cilacap,2124470,2003,0.866377967210645,1840594
Cilegon_Kota,175510,1,2.37287903823144,416464
Cimahi_Kota,39270,1,13.5723962312198,532988
Cirebon,984520,32,2.13209381221306,2099089
Cirebon_Kota,37360,7,8.71967344753747,325767
Demak,900120,21,1.24021574901124,1116343
Depok_Kota,200290,39,9.03250287083729,1809120
Gresik,1191250,19,1.05079034627492,1251754
Grobogan,2013860,59,0.71928286971289,1448535
Gunungkidul,1485360,143,0.503661738568428,748119
Indramayu,2040110,6,0.904463484812093,1845205
Jakarta_Kota,0,215,0,0
Jember,3092340,12,0.848037731944094,2622421
Jepara,1059250,34,1.09339815907482,1158182
Jombang,1115090,66,1.16220215408622,1295960
Karanganyar,775440,213,1.15675100588053,896991
Karawang,1652200,3,1.27737319937054,2110476
Kebumen,1211740,607,1.12443593510159,1362524
Kediri,1386050,406,1.1338371631615,1571555
Kediri_Kota,63400,46,4.53514195583596,287528
Kendal,1118130,42,0.873575523418565,976771
Klaten,658220,263,1.98188903406156,1304519
Kudus,425150,22,1.95855815594496,832681
Kulon Progo,586270,59,0.802565370904191,470520
Kuningan,1110560,1,1.01985484800461,1132610
Lamongan,1782050,9,0.761915210010942,1357771
Lebak,3426560,10,0.391124918285394,1340213
Lumajang,1790900,7,0.618716846278408,1108060
Madiun,1037580,79,0.701626862506987,727994
Madiun_Kota,33290,28,6.14184439771703,204462
Magelang,1102930,84,1.16116072642869,1280679
Magelang_Kota,16060,17,8.05124533001245,129303
Magetan,688840,30,0.997411590499971,687057
Majalengka,1204240,2,1.05210007971833,1266981
Malang,3530650,76,0.697993004121054,2464369
Malang_Kota,145280,15,5.74439014317181,834545
Mojokerto,717830,153,1.53810651547024,1104099
Mojokerto_Kota,16470,4,8.29283545840923,136583
Nganjuk,1224250,167,0.896013069226057,1096944
Ngawi,1295980,96,0.694065494837883,899495
Pacitan,1389920,25,0.418926988603661,582275
Pasuruan,1474020,25,1.06728673966432,1573202
Pasuruan_Kota,35290,1,5.9253046188722,209104
Pati,1489190,130,0.953734580543786,1420292
Pekalongan,837000,108,1.117,934929
Pemalang,1118030,133,1.31586272282497,1471174
Ponorogo,1305700,397,0.07270276480049,94928
Probolinggo_Kota,56670,1,4.10254102699841,232491
Purbalingga,677550,219,1.40698693823334,953304
Purworejo,1091490,207,0.706559840218417,771203
Rembang,887130,96,0.705636152536832,625991
Salatiga_Kota,57360,12,3.25765341701534,186859
Sampang,1233080,1,0.685172089402147,844872
Semarang,950210,255,1.06149798465602,1008646
Semarang_Kota,373780,74,4.4224811386377,1653035
Sidoarjo,634380,75,2.88007818657587,1827064
Sleman,574820,177,1.90165617062733,1093110
Sragen,941540,97,1.04235189158188,981416
Subang,1893950,1,0.819939808337073,1552925
Sukabumi,4145700,1,0.608821670646694,2523992
Sukoharjo,489120,112,1.8345007360157,897291
Surabaya_Kota,350540,63,8.06724482227421,2827892
Surakarta_Kota,46010,108,12.2205824820691,562269
Tangerang,1110600,38,2.47272195209796,2746205
Tangerang_Kota,164500,14,10.6580486322188,1753249
Tegal,876100,30,1.64829813948179,1444074
Tegal_Kota,39680,2,0.708014112903226,28094
Temanggung,837710,40,0.918985090305714,769843
Trenggalek,1147220,64,0.64209916145116,736629
Tuban,1834150,82,0.648722841643268,1189855
Tulungagung,1055650,675,1.04064510017525,1098557
Wonogiri,1793670,80,0.602697820669354,1081041
Wonosobo,981410,95,0.874530522411632,858273
Yogyakarta_Kota,32500,160,1.95895384615385,63666
