regency,performances
Boyolali,165
Blitar_Kota,0
Malang_Kota,15
Blora,88
Sleman,177
Karanganyar,213
Cilacap,2003
Banjarnegara,147
Purworejo,207
Malang,76
Pasuruan,25
Surakarta_Kota,108
Banyumas,767
Demak,21
Jember_Kota,0
Probolinggo_Kota,1
Tangerang_Kota,14
Cianjur,0
Situbondo,0
Purbalingga,219
Yogyakarta_Kota,160
Wonosobo,95
Sukabumi,1
Jombang,66
Pamekasan,0
Kediri_Kota,46
Sumenep,0
Rembang,96
Serang,0
Mojokerto_Kota,4
Cimahi_Kota,1
Kebumen,607
Brebes,14
Jepara,34
Kudus,22
Ngawi,96
Subang,1
Sukabumi_Kota,0
Bogor,6
Madiun,79
Lumajang,7
Magelang_Kota,17
Bantul,482
Pandeglang,0
Mojokerto,153
Ciamis,179
Tegal_Kota,2
Lebak,10
Klaten,263
Sampang,1
Bekasi_Kota,31
Indramayu,6
Cirebon_Kota,7
Jember,12
Blitar,443
Bekasi,44
Temanggung,40
Tegal,30
Depok_Kota,39
Trenggalek,64
Bojonegoro,48
Bandung_Kota,11
Pasuruan_Kota,1
Karawang,3
Wonogiri,80
Salatiga_Kota,12
Purwakarta,0
Nganjuk,167
Lamongan,9
Ponorogo,397
Tasikmalaya,0
Bondowoso,0
Surabaya_Kota,63
Sidoarjo,75
Tangerang,38
Kediri,406
Pekalongan,108
Bogor_Kota,0
Pacitan,25
Sukoharjo,112
Jakarta_Kota,215
Garut,0
Sragen,97
Kulon Progo,59
Cilegon_Kota,1
Kuningan,1
Grobogan,59
Bangkalan,0
Pati,130
Pekalongan_Kota,0
Majalengka,2
Purwokerto,0
Tasikmalaya_Kota,0
Magelang,84
Magetan,30
Madiun_Kota,28
Tulungagung,675
Sumedang,0
Gresik,19
Banyuwangi,23
Pemalang,133
Tuban,82
Banjar_Kota,26
Probolinggo,0
Kendal,42
Bandung,7
Gunungkidul,143
Semarang_Kota,74
Semarang,255
Batu_Kota,14
Cirebon,32
Batang,65
